# Timestep performance metrics.
# Results library: annual.res; (Results SemiDetached_2F)
# Output period: 00:15 on 01/01/26 to 23:45 on 31/12/26  (STS=30m, OTS=30m)
Time  Roof-2:atticExSfLWb(W)
12h30       0.11
13h00       0.15
13h30       0.16
14h00       0.16
14h30       0.14
15h00       0.13
15h30       0.12
16h00       0.10
16h30       0.09
17h00       0.08
17h30       0.07
18h00       0.07
18h30       0.07
19h00       0.08
19h30       0.07
20h00       0.06
20h30       0.05
21h00       0.05
21h30       0.04
22h00       0.03
22h30       0.02
23h00       0.01
23h30      -0.01
00h00      -0.02
00h30      -0.01
01h00      -0.00
01h30      -0.01
02h00      -0.02
02h30      -0.04
03h00      -0.06
03h30      -0.04
04h00      -0.01
04h30      -0.02
05h00      -0.06
05h30      -0.06
06h00      -0.05
06h30      -0.07
07h00      -0.08
07h30      -0.08
08h00      -0.08
08h30      -0.08
09h00      -0.09
09h30      -0.09
10h00      -0.08
10h30      -0.06
11h00      -0.04
11h30      -0.03
12h00      -0.02
12h30      -0.01
13h00       0.00
13h30       0.01
14h00       0.01
14h30      -0.00
15h00      -0.01
15h30      -0.02
16h00      -0.03
16h30      -0.05
17h00      -0.07
17h30      -0.08
18h00      -0.07
18h30      -0.07
19h00      -0.09
19h30      -0.09
20h00      -0.08
20h30      -0.08
21h00      -0.08
21h30      -0.05
22h00      -0.03
22h30      -0.05
23h00      -0.08
23h30      -0.09
00h00      -0.08
00h30      -0.07
01h00      -0.07
01h30      -0.07
02h00      -0.08
02h30      -0.08
03h00      -0.09
03h30      -0.08
04h00      -0.09
04h30      -0.09
05h00      -0.10
05h30      -0.10
06h00      -0.10
06h30      -0.09
07h00      -0.09
07h30      -0.10
08h00      -0.10
08h30      -0.10
09h00      -0.11
09h30      -0.11
10h00      -0.13
10h30      -0.15
11h00      -0.15
11h30      -0.13
12h00      -0.11
12h30      -0.09
13h00      -0.07
13h30      -0.06
14h00      -0.05
14h30      -0.04
15h00      -0.04
15h30      -0.06
16h00      -0.10
16h30      -0.11
17h00      -0.11
17h30      -0.10
18h00      -0.10
18h30      -0.10
19h00      -0.09
19h30      -0.07
20h00      -0.06
20h30      -0.07
21h00      -0.10
21h30      -0.11
22h00      -0.11
22h30      -0.11
23h00      -0.10
23h30      -0.09
00h00      -0.10
00h30      -0.13
01h00      -0.14
01h30      -0.13
02h00      -0.12
02h30      -0.12
03h00      -0.11
03h30      -0.11
04h00      -0.11
04h30      -0.09
05h00      -0.09
05h30      -0.11
06h00      -0.12
06h30      -0.12
07h00      -0.11
07h30      -0.09
08h00      -0.08
08h30      -0.08
09h00      -0.08
09h30      -0.08
10h00      -0.09
10h30      -0.09
11h00      -0.04
11h30       0.04
12h00       0.10
12h30       0.13
13h00       0.14
13h30       0.14
14h00       0.11
14h30       0.05
15h00      -0.01
15h30      -0.08
16h00      -0.15
16h30      -0.15
17h00      -0.11
17h30      -0.10
18h00      -0.11
18h30      -0.16
19h00      -0.19
19h30      -0.19
20h00      -0.19
20h30      -0.21
21h00      -0.20
21h30      -0.18
22h00      -0.15
22h30      -0.14
23h00      -0.14
23h30      -0.15
00h00      -0.18
00h30      -0.20
01h00      -0.21
01h30      -0.18
02h00      -0.14
02h30      -0.13
03h00      -0.15
03h30      -0.20
04h00      -0.24
04h30      -0.25
05h00      -0.23
05h30      -0.18
06h00      -0.17
06h30      -0.22
07h00      -0.21
07h30      -0.12
08h00      -0.07
08h30      -0.07
09h00      -0.06
09h30      -0.07
10h00      -0.10
10h30      -0.10
11h00      -0.05
11h30       0.04
12h00       0.14
12h30       0.21
13h00       0.24
13h30       0.23
14h00       0.21
14h30       0.17
15h00       0.11
15h30       0.05
16h00       0.00
16h30      -0.03
17h00      -0.01
17h30       0.01
18h00       0.02
18h30       0.04
19h00       0.05
19h30       0.04
20h00       0.04
20h30       0.03
21h00       0.03
21h30       0.04
22h00       0.05
22h30       0.05
23h00       0.05
23h30       0.04
00h00       0.03
00h30       0.03
01h00       0.03
01h30       0.02
02h00       0.00
02h30      -0.01
03h00      -0.01
03h30       0.01
04h00       0.01
04h30      -0.01
05h00      -0.03
05h30      -0.03
06h00      -0.04
06h30      -0.04
07h00      -0.04
07h30      -0.04
08h00      -0.05
08h30      -0.05
09h00      -0.05
09h30      -0.06
10h00      -0.06
10h30      -0.06
11h00      -0.05
11h30      -0.03
12h00      -0.02
12h30      -0.01
13h00      -0.00
13h30       0.01
14h00       0.02
14h30       0.02
15h00       0.04
15h30       0.04
16h00       0.04
16h30       0.03
17h00       0.01
17h30      -0.01
18h00      -0.03
18h30      -0.03
19h00      -0.03
19h30      -0.02
20h00      -0.02
20h30      -0.02
21h00      -0.03
21h30      -0.04
22h00      -0.04
22h30      -0.04
23h00      -0.03
23h30      -0.04
00h00      -0.05
00h30      -0.05
01h00      -0.04
01h30      -0.03
02h00      -0.03
02h30      -0.04
03h00      -0.05
03h30      -0.06
04h00      -0.07
04h30      -0.08
05h00      -0.09
05h30      -0.10
06h00      -0.10
06h30      -0.09
07h00      -0.08
07h30      -0.07
08h00      -0.06
08h30      -0.05
09h00      -0.04
09h30      -0.05
10h00      -0.08
10h30      -0.09
11h00      -0.07
11h30      -0.05
12h00      -0.01
12h30       0.05
13h00       0.09
13h30       0.08
14h00       0.06
14h30       0.06
15h00       0.05
15h30       0.01
16h00      -0.08
16h30      -0.13
17h00      -0.10
17h30      -0.03
18h00      -0.02
18h30      -0.03
19h00      -0.03
19h30      -0.02
20h00      -0.03
20h30      -0.05
21h00      -0.07
21h30      -0.07
22h00      -0.07
22h30      -0.09
23h00      -0.10
23h30      -0.10
00h00      -0.11
00h30      -0.14
01h00      -0.15
01h30      -0.15
02h00      -0.16
02h30      -0.18
03h00      -0.20
03h30      -0.21
04h00      -0.21
04h30      -0.19
05h00      -0.18
05h30      -0.17
06h00      -0.15
06h30      -0.13
07h00      -0.11
07h30      -0.09
08h00      -0.06
08h30      -0.02
09h00       0.01
09h30       0.03
10h00       0.02
10h30      -0.01
11h00       0.02
11h30       0.09
12h00       0.17
12h30       0.25
13h00       0.28
13h30       0.27
14h00       0.25
14h30       0.21
15h00       0.18
15h30       0.15
16h00       0.14
16h30       0.13
17h00       0.12
17h30       0.10
18h00       0.09
18h30       0.10
19h00       0.08
19h30       0.06
20h00       0.06
20h30       0.06
21h00       0.06
21h30       0.05
22h00       0.06
22h30       0.06
23h00       0.06
23h30       0.06
00h00       0.06
00h30       0.06
01h00       0.06
01h30       0.05
02h00       0.05
02h30       0.04
03h00       0.05
03h30       0.07
04h00       0.07
04h30       0.04
05h00       0.04
05h30       0.07
06h00       0.06
06h30       0.01
07h00       0.01
07h30       0.02
08h00       0.02
08h30       0.02
09h00       0.02
09h30       0.02
10h00       0.02
10h30       0.03
11h00       0.04
11h30       0.05
12h00       0.06
12h30       0.06
13h00       0.05
13h30       0.04
14h00       0.04
14h30       0.05
15h00       0.04
15h30       0.02
16h00       0.01
16h30      -0.00
17h00      -0.01
17h30      -0.00
18h00      -0.00
18h30      -0.01
19h00      -0.03
19h30      -0.04
20h00      -0.04
20h30      -0.04
21h00      -0.05
21h30      -0.06
22h00      -0.05
22h30      -0.03
23h00      -0.01
23h30       0.01
00h00       0.02
00h30       0.00
01h00      -0.05
01h30      -0.07
02h00      -0.07
02h30      -0.07
03h00      -0.07
03h30      -0.07
04h00      -0.07
04h30      -0.08
05h00      -0.08
05h30      -0.08
