Time,direct_normal_solar
05:30:00,46.75
06:00:00,140.25
06:30:00,220.5
07:00:00,287.5
07:30:00,310
08:00:00,288
08:30:00,271.75
09:00:00,261.25
09:30:00,244.75
10:00:00,222.25
10:30:00,181.5
11:00:00,122.5
11:30:00,92.25
12:00:00,90.75
12:30:00,104.5
13:00:00,133.5
13:30:00,170.75
14:00:00,216.25
14:30:00,228
15:00:00,206
15:30:00,199
16:00:00,207
16:30:00,229
17:00:00,265
17:30:00,290.5
18:00:00,305.5
18:30:00,314.75
19:00:00,318.25
19:30:00,313.75
20:00:00,301.25
20:30:00,221.25
21:00:00,73.75
